group,cond,RQI,Phi_z,Syn_z
A,ses-1,-1.0521759985028378,-0.18437282119110882,-0.867803177311729
A,ses-1,-1.5324643396114739,-0.18437282119110882,-1.348091518420365
A,ses-1,0.30006671028986526,-0.32859746684484764,0.6286641771347129
A,ses-1,-0.15393156814094144,-1.1177511883464293,0.9638196202054878
A,ses-1,0.2074803267710007,-0.938150686211587,1.1456310129825877
A,ses-1,-0.5093289260525848,0.044209636071420345,-0.5535385621240052
A,ses-1,-2.287824977742605,-0.9599204440461148,-1.3279045336964905
A,ses-1,-1.1243701146179899,-0.9327082467529567,-0.19166186786503323
A,ses-1,-0.42840827853008484,-0.802089699745798,0.3736814212157132
A,ses-1,-1.84508006597226,-1.1177511883464293,-0.7273288776258306
A,ses-1,0.7268989915498936,0.3734772233186307,0.3534217682312628
